"model_id";"name";"producer";"type";"capacity";"image";"priority";"own";"forceBlockVisible";"weight";"fuel";"speed"
"model_26";"Hunter 350 2023";"Royal Enfield";"premium";"350";"model_26.jpg";"17";"1";"1";"187";"14";"122"
"model_27";"RC 200";"KTM";"premium";"200";"model_27.jpg";"29";"1";"1";"128";"11";"132"
"model_28";"Avenger Street 220 2017";"Bajaj";"commute";"220";"model_28.jpg";"17";"1";"1";"155";"14";"120"
"model_29";"Meteor 350 2023";"Royal Enfield";"premium";"350";"model_29.jpg";"17";"1";"1";"187";"14";"122"
"model_3";"Activa 6g 2025";"Honda";"commute";"153";"model_3.jpg";"1";"1";"1";"132";"12";"130"
"model_30";"Himalayan";"Royal Enfield";"premium";"411";"model_30.jpg";"35";"1";"1";"200";"14";"132"
"model_31";"Aviator (Within City limits)";"Honda";"commute";"110";"model_31.jpg";"7";"1";"1";"187";"14";"122"
"model_32";"R15 V4 2023";"Yamaha";"premium";"150";"model_32.jpg";"150";"1";"1";"187";"14";"122"
"model_33";"Pleasure";"Hero";"commute";"110";"model_33.jpg";"1";"1";"1";"0";"0";"0"
"model_34";"Burgman Street 2023";"Suzuki";"commute";"125";"model_34.jpg";"125";"1";"1";"0";"0";"0"
